rima,bigram
I,himno gigante
I,himno cadencia
I,aire dilata
I,querer escribir él
I,hombre domar
I,rebelde mezquino
I,mezquino idioma
I,tiempo suspiro
I,risa color
I,cifra capaz
I,apenas oh
I,oh hermoso
I,hermoso poder
I,oído contártelo
II,voladora cruzo
II,cruza arrojado
II,adivinar él dónde
II,dónde temblar
II,clavar hoja
II,árbol seco
II,seco arrebatar
II,nadie acertar
II,caer volver
II,volver gigante
II,gigante ola
II,viento rezar
II,playar buscar
II,buscar va
II,ir luz
II,cerco tembloroso
II,tembloroso brillar
II,brillar próximo
II,expirar ignorar él
II,ignorar él cuál
II,último brillar
II,acaso cruzo
II,dónde venir
III,sacudimiento extraño
III,tropel murmullo
III,ir crecer
III,sordo anunciar
III,arder deform
III,deform silueta
III,ser imposible
III,imposible paisaje
III,tul color
III,fundir él remedir
III,luz idea
III,palabra palabra
III,sentido cadencia
III,compás memoria
III,existir acceso
III,alegría impulso
III,llorar actividad
III,actividad nervioso
III,guíe caballo
III,caballo volador
III,volador locura
III,espíritu exalto
III,enardecir embriaguez
III,embriaguez divino
III,genio creador
III,creador tal
III,inspiración gigante
III,gigante voz
III,caos ordenar
III,sombra hacer
III,luz aparecer
III,aparecer brillante
III,brillante rienda
III,poderoso enfrén
III,exaltado mente
III,volador corcel
III,corcel hilo
III,pensamiento ata
III,ata sol
III,nubes romper
III,cenit inteligente
III,inteligente mano
III,perla conseguir
III,indócil palabra
III,palabra reunir
III,reunir armonioso
III,armonioso ritmo
III,fugitiva nota
III,nota encerrar
III,compás cincel
III,bloque muerde
III,estatua moldear
III,belleza plástico
III,plástico añadir
III,ideal atmósfera
III,agrupar recóndito
III,recóndito atracción
III,atracción raudal
III,cuyo onda
III,fiebre apagar
III,apagar oasis
III,espíritu devolver
III,vigor tal
III,ambos siempre
III,ambos vencedor
III,vencedor tanto
III,tan sólo
III,genio poder
III,yugo atar
IV,asunto faltar
IV,falta enmudeceír
IV,lirar poder
IV,haber poeta
IV,poesía mientras
IV,beso palpitir
IV,palpitir encendido
IV,encendido mientras
IV,desgarrada nube
IV,oro visto
IV,visto mientras
IV,regazo llevar
IV,llevar perfume
IV,armonía mientras
IV,mundo primavera
IV,poesía mientras
IV,cálculo resista
IV,resista mientras
IV,humanidad siempre
IV,siempre avanzar
IV,dó caminar
IV,caminar mientras
IV,poesía mientras
IV,mientras sentir
IV,labio rir
IV,rir mientras
IV,llanto acudir
IV,pupilar mientras
IV,cabeza.batallando prosigar
IV,prosigar mientras
IV,poesía mientras
IV,mirar mientras
IV,mientras respondar
IV,labio suspirar
IV,suspirar mientras
IV,mientras sentir él
IV,sentir él poder
IV,beso dos
IV,dos alma
IV,alma confundida
IV,confundida mientras
IV,mientras existir
IV,mujer hermoso
V,nombre indefinible
V,indefinible esencia
V,sol tiemblo
V,hoguera palpito
V,lejano estrella
V,alto luna
V,luz tibio
V,ardiente nube
V,ocaso ondea
V,astro errante
V,luminoso estela
V,arena azul
V,azul ondar
V,nota perfumar
V,violeta fuga
V,fuga llamar
V,ruina hiedra
V,alcor susurro
V,alto hierba
V,hierba suspirar
V,onda puro
V,hoja seco
V,cielo lento
V,lento subir
V,espiral inmenso
V,dorado hi él
V,insecto colgar
V,ardorós siesta
V,corro tras
V,corriente fresco
V,cristalino arrollo
V,arrollo desnudo
V,desnudo jugueteir
V,alfombrar blanca
V,blanco perla
V,perla persigo
V,náyade ligero
V,caverna cóncava
V,cóncava do
V,sol nunca
V,nunca penetrar
V,penetrar mezclándome
V,nomos contemplo
V,borrada huella
V,nombre quedar
V,raudir vértigo
V,pupila abarco
V,creación entero
V,do rumor
V,informe astros
V,soplo esperar
V,ignotar escala
V,cielo unir
V,invisible anillo
V,espíritu desconocido
V,desconocido esencia
V,esencia perfume
V,perfumar misterioso
VI,sangre oreo
VI,oscuro campo
VI,batalla cargado
VI,noche vagar
VI,vagar símbolo
VI,bardo inglés
VI,horrible drama
VI,dulce ofelia
VI,razón perdido
VI,perdido coger
VI,coger flor
VI,cantar pasar
VII,ángulo oscuro
VII,dueño tal
VII,tal vez
VII,vez olvidado
VII,olvidado silencioso
VII,polvo veíar
VII,arpa cuánto
VII,cuánta nota
VII,nota dormir
VII,pájaro dormir
VII,ramar esperar
VII,saber arrancarla
VII,arrancarla ay
VII,ay pensar
VII,pensar cuántos
VII,cuántos vez
VII,genio así
VII,así dormir
VII,lázaro esperar
VII,decir levántate
