rima,unigram,lema
I,sé,saber
I,himno,himno
I,gigante,gigante
I,extraño,extraño
I,anuncia,anunciar
I,noche,noche
I,alma,alma
I,aurora,auroro
I,páginas,página
I,himno,himno
I,cadencias,cadencia
I,aire,aire
I,dilata,dilato
I,sombras,sombra
I,quisiera,querer
I,escribirlo,escribir él
I,hombre,hombre
I,domando,domar
I,rebelde,rebelde
I,mezquino,mezquino
I,idioma,idioma
I,palabras,palabra
I,tiempo,tiempo
I,suspiros,suspiro
I,risas,risa
I,colores,color
I,notas,nota
I,vano,vano
I,luchar,luchar
I,cifra,cifra
I,capaz,capaz
I,encerrarlo,encerrar él
I,apenas,apenas
I,oh,oh
I,hermosa,hermoso
I,pudiera,poder
I,oído,oer
I,contártelo,contártelo
I,solas,solo
II,saeta,saetar
II,voladora,voladorar
II,cruza,cruzar
II,arrojada,arrojado
II,azar,azar
II,adivinarse,adivinar él
II,dónde,dónde
II,temblando,temblar
II,clavará,clavar
II,hoja,hoja
II,árbol,árbol
II,seca,seco
II,arrebata,arrebatar
II,vendaval,vendaval
II,nadie,nadie
II,acierte,acierte
II,surco,surco
II,caer,caer
II,volverá,volver
II,gigante,gigante
II,ola,ola
II,viento,viento
II,riza,rezar
II,empuja,empuja
II,mar,mar
II,rueda,rodar
II,pasa,pasar
II,sabe,saber
II,playa,playa
II,buscando,buscar
II,va,ir
II,luz,luz
II,cercos,cerco
II,temblorosos,tembloroso
II,brilla,brillar
II,próxima,próximo
II,expirar,expirar
II,ignorándose,ignorar él
II,cuál,cuál
II,último,último
II,brillará,brillar
II,acaso,acaso
II,cruzo,cruzo
II,mundo,mundo
II,pensar,pensar
II,dónde,dónde
II,vengo,venir
II,dónde,dónde
II,pasos,paso
II,llevarán,llevar
III,sacudimiento,sacudimiento
III,extraño,extraño
III,agita,agitir
III,ideas,idea
III,huracán,huracán
III,empuja,empuja
III,olas,ola
III,tropel,tropel
III,murmullo,murmullo
III,alma,alma
III,eleva,elevar
III,va,ir
III,creciendo,crecer
III,volcán,volcán
III,sordo,sordo
III,anuncia,anunciar
III,va,ir
III,arder,arder
III,deformes,deform
III,siluetas,silueta
III,seres,ser
III,imposibles,imposible
III,paisajes,paisaje
III,aparecen,aparecer
III,través,través
III,tul,tul
III,colores,color
III,fundiéndose,fundir él
III,remedan,remedir
III,aire,aire
III,átomos,átomo
III,iris,iris
III,nadan,nadar
III,luz,luz
III,ideas,idea
III,palabras,palabra
III,palabras,palabra
III,sentido,sentido
III,cadencias,cadencia
III,ritmo,ritmo
III,compás,compás
III,memorias,memoria
III,deseos,deseo
III,cosas,cosa
III,existen,existir
III,accesos,acceso
III,alegría,alegría
III,impulsos,impulso
III,llorar,llorar
III,actividad,actividad
III,nerviosa,nervioso
III,halla,halla
III,emplearse,emplear él
III,rienda,rienda
III,guíe,guíe
III,caballo,caballo
III,volador,volador
III,locura,locura
III,espíritu,espíritu
III,exalta,exalta
III,enardece,enardecir
III,embriaguez,embriaguez
III,divina,divino
III,genio,genio
III,creador,creador
III,tal,tal
III,inspiración,inspiración
III,gigante,gigante
III,voz,voz
III,caos,caos
III,ordena,ordenar
III,cerebro,cerebro
III,sombras,sombra
III,hace,hacer
III,luz,luz
III,aparecer,aparecer
III,brillante,brillante
III,rienda,rienda
III,oro,oro
III,poderosa,poderoso
III,enfrena,enfrén
III,exaltada,exaltado
III,mente,mente
III,volador,volador
III,corcel,corcel
III,hilo,hilo
III,luz,luz
III,hace,hacer
III,pensamientos,pensamiento
III,ata,ata
III,sol,sol
III,nubes,nube
III,rompe,romper
III,toca,tocar
III,cenit,cenit
III,inteligente,inteligente
III,mano,mano
III,collar,collar
III,perlas,perla
III,consigue,conseguir
III,indóciles,indócil
III,palabras,palabra
III,reunir,reunir
III,armonioso,armonioso
III,ritmo,ritmo
III,cadencia,cadencia
III,número,número
III,fugitivas,fugitiva
III,notas,nota
III,encierra,encerrar
III,compás,compás
III,cincel,cincel
III,bloque,bloque
III,muerde,muerde
III,estatua,estatua
III,moldeando,moldear
III,belleza,belleza
III,plástica,plástico
III,añade,añadir
III,ideal,ideal
III,atmósfera,atmósfera
III,giran,giran
III,orden,orden
III,ideas,idea
III,átomos,átomo
III,agrupa,agrupar
III,recóndita,recóndita
III,atracción,atracción
III,raudal,raudal
III,cuyas,cuyo
III,ondas,onda
III,sed,sed
III,fiebre,fiebre
III,apaga,apagar
